,rank,name,team,POS,G,GS,IP,E,PKO,PO,A,DP,FPCT,PB,SB,CS,CS%
74,71,황덕균,kt,투수,3,0,3 2/3,0,0,0,0,0,-,0,0,0,-
75,76,김동명,kt,1루수,2,0,4,0,0,3,0,0,1.000,0,0,0,-
76,76,김사연,kt,2루수,2,0,4,0,0,2,3,1,1.000,0,0,0,-
77,76,김선민,kt,3루수,2,0,2 1/3,0,0,0,1,0,1.000,0,0,0,-
78,76,모상기,kt,1루수,2,2,11,0,0,8,3,0,1.000,0,0,0,-
79,76,배병옥,kt,좌익수,2,0,3,0,0,1,0,0,1.000,0,0,0,-
80,76,윤여운,kt,포수,2,0,4,0,0,3,0,0,1.000,1,0,0,-
81,76,이윤학,kt,투수,2,0,3,0,0,0,0,0,-,0,0,0,-
82,83,김동명,kt,포수,1,0,1,0,0,1,0,0,1.000,0,0,0,-
83,83,김동명,kt,우익수,1,0,2,0,0,1,0,0,1.000,0,0,0,-
84,83,김태훈,kt,3루수,1,0,5,0,0,0,0,0,-,0,0,0,-
85,83,김태훈,kt,1루수,1,0,2,0,0,1,0,0,1.000,0,0,0,-
86,83,박경수,kt,유격수,1,0,3,0,0,0,0,0,-,0,0,0,-
87,83,배병옥,kt,우익수,1,1,5,0,0,3,0,0,1.000,0,0,0,-
88,83,오정복,kt,중견수,1,1,1 1/3,0,0,1,0,0,1.000,0,0,0,-
89,83,이대형,kt,우익수,1,0,1,0,0,0,0,0,-,0,0,0,-
90,83,이지찬,kt,유격수,1,0,1,0,0,0,0,0,-,0,0,0,-
91,83,이창진,kt,3루수,1,1,7,0,0,1,0,0,1.000,0,0,0,-
