,p_number,name,salary,entry_yr,team
415,76322.0,유선정,3900.0,06현대,Nexen
416,61363.0,문우람,9000.0,12넥센,Nexen
417,79300.0,김지수,5500.0,09히어로즈,Nexen
418,73606.0,서동욱,5800.0,03KIA,Nexen
419,64346.0,임병욱,4000.0,14넥센,Nexen
420,79334.0,장영석,3300.0,09히어로즈,Nexen
421,63339.0,김민준,2700.0,13넥센,Nexen
422,65343.0,김택형,4400.0,15넥센,Nexen
423,72749.0,마정길,20000.0,02한화,Nexen
424,60336.0,문성현,11000.0,10넥센,Nexen
425,75321.0,손승락,70000.0,05현대,Nexen
426,62363.0,한현희,30000.0,12넥센,Nexen
427,65392.0,김정인,3000.0,15넥센,Nexen
428,75750.0,양훈,15000.0,05한화,Nexen
429,63342.0,조상우,17000.0,13넥센,Nexen
430,75321.0,손승락,70000.0,05현대,Nexen
431,76350.0,김세현,16000.0,06현대,Nexen
432,75258.0,금민철,7900.0,05두산,Nexen
433,97541.0,이정훈,4900.0,97롯데,Nexen
434,62363.0,한현희,30000.0,12넥센,Nexen
435,61365.0,김대우,11000.0,11넥센,Nexen
436,72749.0,마정길,20000.0,02한화,Nexen
437,99314.0,송신영,19000.0,99현대,Nexen
438,60336.0,문성현,11000.0,10넥센,Nexen
439,62360.0,김동준,3000.0,12넥센,Nexen
440,72321.0,배힘찬,3300.0,02현대,Nexen
441,60339.0,김정훈,3400.0,10넥센,Nexen
442,64350.0,하영민,5500.0,14넥센,Nexen
443,65343.0,김택형,4400.0,15넥센,Nexen
444,60342.0,정회찬,2700.0,10넥센,Nexen
445,74359.0,오재영,8800.0,04현대,Nexen
446,63960.0,이상민,3000.0,13NC,Nexen
447,76430.0,김상수,6000.0,06삼성,Nexen
448,74402.0,이정식,4500.0,04삼성,Samsung
449,79465.0,배영섭,16000.0,09삼성,Samsung
450,62404.0,구자욱,8000.0,12삼성,Samsung
451,77463.0,채태인,30000.0,03보스턴,Samsung
452,95436.0,이승엽,100000.0,95삼성,Samsung
453,74465.0,박석민,75000.0,04삼성,Samsung
454,72443.0,최형우,70000.0,02삼성,Samsung
455,79456.0,이지영,21000.0,09삼성,Samsung
456,71432.0,박한이,45000.0,01삼성,Samsung
457,62415.0,박해민,15000.0,12삼성,Samsung
458,79402.0,김상수,31000.0,09삼성,Samsung
459,60456.0,백상원,4500.0,10삼성,Samsung
460,63440.0,이흥련,7500.0,13삼성,Samsung
461,78467.0,이영욱,5500.0,08삼성,Samsung
462,62409.0,박찬도,3100.0,12삼성,Samsung
463,78454.0,우동균,5500.0,08삼성,Samsung
464,64499.0,김재현,4500.0,14삼성,Samsung
465,61463.0,김정혁,3300.0,09상무,Samsung
466,64493.0,최선호,3500.0,15삼성,Samsung
467,74158.0,김태완,6000.0,04LG,Samsung
468,64468.0,박계범,2900.0,14삼성,Samsung
469,61411.0,심창민,14000.0,11삼성,Samsung
470,65405.0,윤영수,2900.0,15삼성,Samsung
471,60724.0,이상훈,3500.0,10한화,Samsung
472,95657.0,임창용,30000.0,95해태,Samsung
473,79440.0,정인욱,6000.0,09삼성,Samsung
474,65447.0,최민구,2900.0,15삼성,Samsung
475,95657.0,임창용,30000.0,95해태,Samsung
476,74630.0,박근홍,11000.0,04KIA,Samsung
477,75268.0,조현근,4500.0,05두산,Samsung
478,72463.0,안지만,75000.0,02삼성,Samsung
479,74454.0,윤성환,80000.0,04삼성,Samsung
480,61411.0,심창민,14000.0,11삼성,Samsung
481,76455.0,차우찬,40000.0,06삼성,Samsung
482,76355.0,장원삼,75000.0,06현대,Samsung
483,71851.0,김건한,6000.0,01SK,Samsung
484,77446.0,백정현,5500.0,07삼성,Samsung
485,72649.0,신용운,5500.0,02KIA,Samsung
486,76461.0,김기태,4000.0,06삼성,Samsung
487,60457.0,김현우,4500.0,10삼성,Samsung
488,99445.0,권오준,7000.0,99삼성,Samsung
489,79440.0,정인욱,6000.0,09삼성,Samsung
490,61457.0,임현준,3300.0,11삼성,Samsung
491,77927.0,장필준,2800.0,07상무,Samsung
