,name,team,ERA,G,W,L,SV,HLD,WPCT,IP,H,HR,BB,HBP,SO,R,ER,WHIP,GS,Wgs,Wgr,GF,SVO,TS,GDP,GO,AO,GO/AO
193,배힘찬,넥센,6.75,7,0,1,0,0,0.000,6 2/3,10,1,6,0,1,7,5,2.4,0,0,0,4,0,0,0,11,9,1.22
194,김정훈,넥센,7.04,13,0,2,0,1,0.000,15 1/3,20,2,10,3,11,14,12,1.96,1,0,0,7,1,0,0,12,22,0.55
195,하영민,넥센,7.53,18,2,0,0,0,1.000,34 2/3,48,7,12,2,25,30,29,1.73,2,1,1,7,0,0,5,39,29,1.34
196,김택형,넥센,7.91,37,4,4,0,2,0.500,58,79,7,42,6,55,58,51,2.09,10,2,2,3,3,0,7,68,40,1.7
197,정회찬,넥센,9.0,1,0,0,0,0,-,1,2,1,1,0,1,1,1,3.0,0,0,0,0,0,0,0,1,1,1.0
198,오재영,넥센,9.33,9,0,2,0,0,0.000,18 1/3,31,4,12,1,11,19,19,2.35,4,0,0,3,0,0,3,15,23,0.65
199,구자형,넥센,10.13,3,0,0,0,0,-,2 2/3,4,0,2,0,1,3,3,2.25,0,0,0,3,0,0,1,5,1,5.0
200,이상민,넥센,10.71,23,0,1,0,1,0.000,19 1/3,29,4,10,3,12,23,23,2.02,0,0,0,4,2,0,2,25,17,1.47
201,김상수,넥센,10.8,2,0,1,0,0,0.000,5,10,1,5,0,2,8,6,3.0,1,0,0,0,0,0,1,6,7,0.86
202,임창용,삼성,2.83,55,5,2,33,0,0.714,54,45,2,13,3,71,17,17,1.07,0,0,5,50,38,2,4,47,37,1.27
203,박근홍,삼성,2.96,66,2,2,0,8,0.500,48 2/3,39,3,24,6,55,20,16,1.29,0,0,2,12,12,0,4,36,47,0.77
204,조현근,삼성,3.26,22,0,0,0,1,-,19 1/3,18,1,7,1,11,10,7,1.29,0,0,0,13,0,0,3,25,19,1.32
205,안지만,삼성,3.33,66,4,3,0,37,0.571,78 1/3,76,8,26,2,96,29,29,1.3,0,0,4,8,40,0,6,53,65,0.82
206,피가로,삼성,3.38,25,13,7,0,0,0.650,165,154,16,51,7,117,66,62,1.24,25,13,0,1,0,0,11,188,161,1.17
207,윤성환,삼성,3.76,30,17,8,0,0,0.680,194,199,27,30,10,164,86,81,1.18,30,17,0,3,0,0,11,156,241,0.65
208,심창민,삼성,4.28,61,6,3,0,9,0.667,67 1/3,54,7,24,5,91,32,32,1.16,0,0,6,9,10,0,2,32,71,0.45
209,차우찬,삼성,4.79,31,13,7,0,1,0.650,173,160,28,74,5,194,98,92,1.35,29,12,1,1,1,0,13,138,165,0.84
210,클로이드,삼성,5.19,28,11,11,0,0,0.500,159 2/3,190,24,38,12,123,103,92,1.43,28,11,0,0,0,0,12,192,139,1.38
211,장원삼,삼성,5.8,26,10,9,0,0,0.526,136 2/3,151,29,50,1,107,96,88,1.47,25,10,0,0,0,0,9,114,168,0.68
212,김건한,삼성,6.06,16,1,1,0,0,0.500,16 1/3,26,1,8,1,6,11,11,2.08,1,0,1,5,0,0,0,18,22,0.82
213,백정현,삼성,6.11,31,0,0,0,2,-,28,32,3,20,1,37,19,19,1.86,1,0,0,5,5,0,1,25,18,1.39
214,신용운,삼성,7.01,35,1,1,0,2,0.500,25 2/3,35,2,16,2,22,23,20,1.99,0,0,1,3,6,0,2,28,28,1.0
215,김기태,삼성,7.06,23,3,0,0,0,1.000,29 1/3,36,11,10,0,23,25,23,1.57,0,0,3,11,1,0,1,18,44,0.41
216,김현우,삼성,7.3,11,0,0,0,0,-,12 1/3,14,5,5,1,14,10,10,1.54,0,0,0,4,0,0,2,11,10,1.1
217,권오준,삼성,8.04,30,0,0,0,0,-,28,33,5,9,5,24,27,25,1.5,0,0,0,12,1,0,2,30,27,1.11
218,정인욱,삼성,8.28,12,2,2,1,0,0.500,29 1/3,40,5,16,2,29,27,27,1.91,4,2,0,3,1,0,1,21,35,0.6
219,임현준,삼성,11.37,7,0,0,0,0,-,6 1/3,11,3,2,0,6,10,8,2.05,0,0,0,3,0,0,0,7,7,1.0
220,장필준,삼성,15.75,2,0,0,0,0,-,4,10,2,0,0,4,7,7,2.5,1,0,0,1,0,0,0,5,3,1.67
221,윤석주,SK,0.0,1,0,0,0,0,-,1 1/3,2,0,0,0,0,0,0,1.5,0,0,0,0,0,0,0,4,0,-
222,윤길현,SK,3.16,70,0,4,13,17,0.000,62 2/3,58,7,36,2,62,25,22,1.5,0,0,0,26,37,1,5,51,69,0.74
223,정우람,SK,3.21,69,7,5,16,11,0.583,70,52,3,28,1,90,25,25,1.14,0,0,7,36,33,1,3,50,62,0.81
224,김광현,SK,3.72,30,14,6,0,1,0.700,176 2/3,173,19,66,3,160,86,73,1.35,29,14,0,1,1,0,18,216,125,1.73
225,이한진,SK,3.86,3,0,0,0,0,-,4 2/3,4,0,5,0,1,3,2,1.93,0,0,0,2,0,0,0,8,6,1.33
226,신재웅,SK,4.11,61,0,1,0,9,0.000,50 1/3,72,5,17,4,49,28,23,1.77,0,0,0,9,12,0,4,46,45,1.02
227,켈리,SK,4.13,30,11,10,0,0,0.524,181,188,16,54,5,139,87,83,1.34,29,10,1,1,0,0,19,225,149,1.51
228,박민호,SK,4.28,20,1,1,0,1,0.500,27 1/3,26,4,9,2,12,18,13,1.28,0,0,1,9,1,0,3,35,32,1.09
229,전유수,SK,4.4,66,3,6,1,5,0.333,77 2/3,66,9,42,5,84,39,38,1.39,0,0,3,9,10,0,3,65,73,0.89
230,밴와트,SK,4.63,12,5,3,0,0,0.625,56 1/3,70,5,13,2,50,29,29,1.47,12,5,0,0,0,0,5,45,63,0.71
231,이재영,SK,4.65,26,1,0,0,1,1.000,31,36,4,13,3,26,18,16,1.58,0,0,1,10,1,0,0,28,38,0.74
232,백인식,SK,4.79,7,1,2,0,0,0.333,20 2/3,24,2,11,2,14,13,11,1.69,4,1,0,1,0,0,0,11,32,0.34
233,세든,SK,4.99,14,7,5,0,0,0.583,74,77,12,28,5,67,42,41,1.42,14,7,0,1,0,0,7,62,72,0.86
234,박종훈,SK,5.19,33,6,8,0,0,0.429,118,123,7,53,17,105,74,68,1.49,23,6,0,5,0,0,9,133,92,1.45
235,박정배,SK,5.33,24,2,2,0,2,0.500,25 1/3,25,3,13,2,28,15,15,1.5,0,0,2,5,4,0,0,24,21,1.14
236,박희수,SK,5.4,14,0,0,0,2,-,10,13,3,8,1,12,6,6,2.1,1,0,0,3,3,0,1,10,7,1.43
237,윤희상,SK,5.88,21,5,9,0,0,0.357,93 1/3,113,15,34,3,67,65,61,1.58,21,5,0,0,0,0,13,106,86,1.23
238,서진용,SK,5.91,18,0,0,0,0,-,21 1/3,25,4,6,0,24,14,14,1.45,0,0,0,8,0,0,1,18,20,0.90
239,이창욱,SK,6.0,2,0,0,0,0,-,3,2,0,2,0,1,2,2,1.33,0,0,0,2,0,0,0,7,1,7.00
240,채병용,SK,6.07,33,4,4,0,1,0.500,83,103,17,27,3,78,56,56,1.57,8,2,2,5,1,0,3,60,93,0.65
241,고효준,SK,6.18,30,0,3,0,0,0.000,51,61,8,31,4,43,37,35,1.8,2,0,0,10,0,0,4,53,52,1.02
242,문광은,SK,6.85,53,1,5,1,11,0.167,64 1/3,87,13,27,4,54,55,49,1.77,1,0,1,6,13,0,6,63,64,0.98
243,김태훈,SK,27.0,1,0,0,0,0,-,1/3,0,0,1,0,0,1,1,3.0,0,0,0,0,0,0,0,0,1,0.00
